학교ID,개방ID,시도명,시도교육청명,학교명,설립일자,소재지지번주소,소재지도로명주소,위도,경도,시군구별,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2009_해당지역예측학생수,2010_해당지역예측학생수,2011_해당지역예측학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,상관계수,2024_예측학생수,2025_예측학생수,2026_예측학생수,2027_예측학생수,2028_예측학생수,2029_예측학생수,2030_예측학생수
B000004885,1674925327,강원,강원특별자치도교육청,장양초등학교,1947-12-03,강원특별자치도 원주시 태장동 장전길 1983 번지,강원특별자치도 원주시 북원로 2868,37.39858148,127.9532647,원주시,448.0,376.0,339.0,306.0,279.0,259.0,235.0,213.0,178.0,177.0,156.0,125.0,97.0,92.0,87.0,21266,20620,19692,18727,17843,17562,17366,17226,17344,17569,17725,17153,16782,16521,16050,15398,14460,14060,13627,13057,12660,12303,0.9319611509163772,48.07699161066671,-16.425626333972104,-43.932073218679534,-73.70780197137526,-112.90448878208326,-140.2046373151553,-164.7541411597566
B000005076,1770399630,강원,강원특별자치도교육청,청일초등학교,1934-09-24,강원특별자치도 횡성군 청일면 유동리 1005-1,강원특별자치도 횡성군 청일면 청정로 795,37.58131788,128.146834,횡성군,51.0,47.0,38.0,38.0,34.0,31.0,33.0,34.0,27.0,28.0,22.0,21.0,16.0,10.0,9.0,2731,2495,2314,2111,1980,1924,1829,1759,1712,1671,1649,1530,1455,1429,1357,1284,1172,1147,1099,1019,936,894,0.9455051626175248,12.681533058925147,9.47372457849621,8.757695899829038,7.382920836788063,5.091629065053105,2.7144138518780885,1.5114856717172387
B000004888,1846746027,강원,강원특별자치도교육청,문막초등학교,1917-05-01,강원특별자치도 원주시 문막읍 건등리 1704 번지,강원특별자치도 원주시 문막읍 건등로 28-11,37.31291674,127.8205042,원주시,608.0,569.0,546.0,487.0,437.0,423.0,413.0,401.0,408.0,418.0,492.0,486.0,443.0,409.0,390.0,21266,20620,19692,18727,17843,17562,17366,17226,17344,17569,17725,17153,16782,16521,16050,15398,14460,14060,13627,13057,12660,12303,0.9162385308962898,355.72238069384537,316.8585148128391,300.2854376780816,282.3450816797067,258.7284467626773,242.2796677064306,227.48819636365954
B000004969,1851055264,강원,강원특별자치도교육청,삼성초등학교,1964-03-14,강원특별자치도 태백시 장성동 32-2 번지,강원특별자치도 태백시 평화길 44,37.097576,129.0235889,태백시,111.0,102.0,86.0,81.0,70.0,63.0,56.0,45.0,44.0,48.0,52.0,55.0,47.0,44.0,30.0,3336,3187,3038,2901,2775,2795,2772,2757,2776,2751,2721,2560,2422,2270,2039,1879,1688,1526,1351,1182,1067,916,0.8704940662324401,9.42842805074828,-2.2929466015634716,-12.234636097241491,-22.97411549072085,-33.345384162138046,-40.4027563349959,-49.66939284022666
B000004968,1870220184,강원,강원특별자치도교육청,태백초등학교,1961-11-25,강원특별자치도 태백시 장성동 207-2 번지,강원특별자치도 태백시 태백로 1811,37.10857841,129.005232,태백시,86.0,67.0,71.0,75.0,68.0,66.0,51.0,46.0,40.0,41.0,38.0,35.0,38.0,34.0,32.0,3336,3187,3038,2901,2775,2795,2772,2757,2776,2751,2721,2560,2422,2270,2039,1879,1688,1526,1351,1182,1067,916,0.81896400326784,14.521167856051605,6.088736257723141,-1.0633785010685415,-8.789428394824988,-16.250585149366927,-21.327703650978307,-27.99418098787673
B000005009,1878157913,강원,강원특별자치도교육청,진주초등학교,1946-04-15,강원특별자치도 삼척시 남양동 178 번지,강원특별자치도 삼척시 사직로1길 23,37.43304777,129.1657583,삼척시,349.0,296.0,256.0,248.0,199.0,172.0,188.0,184.0,175.0,191.0,196.0,174.0,168.0,157.0,136.0,4947,4688,4384,3958,3530,3340,3143,3015,2936,2912,2928,2841,2792,2748,2651,2515,2334,2264,2204,2070,1984,1923,0.9558540920664035,142.40938498147855,129.23185443630084,124.13557190501663,119.76732973534448,110.01158888974331,103.75044177987988,99.3093955740465
B000004880,1894677102,강원,강원특별자치도교육청,원주초등학교,1896-09-17,강원특별자치도 원주시 봉산동 1120 번지,강원특별자치도 원주시 봉산로 15,37.347842,127.9588477,원주시,704.0,594.0,512.0,443.0,391.0,379.0,346.0,331.0,315.0,302.0,266.0,246.0,231.0,213.0,195.0,21266,20620,19692,18727,17843,17562,17366,17226,17344,17569,17725,17153,16782,16521,16050,15398,14460,14060,13627,13057,12660,12303,0.9701534681160225,120.62408789133724,31.430744420891187,-6.604796504672095,-47.77826955659452,-101.97891537552232,-139.72918974414392,-173.67591002020936
B000004924,1946212530,강원,강원특별자치도교육청,옥천초등학교,1943-07-06,강원특별자치도 강릉시 옥천동 111번지,강원특별자치도 강릉시 수문길 25,37.75683221,128.9027168,강릉시,509.0,454.0,404.0,346.0,298.0,256.0,231.0,212.0,185.0,201.0,207.0,193.0,184.0,173.0,161.0,15873,15217,14515,13637,12479,11873,11310,10841,10397,10272,10161,9702,9360,9108,8703,8116,7516,7020,6672,6162,5819,5561,0.9804572879320183,105.07805897952693,76.79041549719813,53.40596355180628,36.999130332055586,12.954633372076103,-3.216469485321852,-15.380156182723226
B000004876,2123642802,강원,강원특별자치도교육청,남원주초등학교,1998-03-01,강원특별자치도 원주시 단구동 1588-2 번지,강원특별자치도 원주시 늘품로 28,37.32275082,127.9509825,원주시,1651.0,1628.0,1597.0,1478.0,1372.0,1275.0,1179.0,1084.0,1046.0,1011.0,968.0,854.0,896.0,851.0,788.0,21266,20620,19692,18727,17843,17562,17366,17226,17344,17569,17725,17153,16782,16521,16050,15398,14460,14060,13627,13057,12660,12303,0.9091823946878859,704.5514368617014,531.2245504037573,457.3111659867236,377.2999273552841,271.9733545610111,198.61432052710506,132.64662493490232
B000004960,2147341728,강원,강원특별자치도교육청,천곡초등학교,1993-12-31,강원특별자치도 동해시 천곡동 320-1 번지,강원특별자치도 동해시 동굴로 33,37.5177868,129.1078871,동해시,778.0,679.0,591.0,553.0,528.0,475.0,427.0,392.0,371.0,326.0,300.0,285.0,281.0,268.0,252.0,7945,7540,7176,6704,6185,5832,5516,5250,5017,4932,4831,4668,4582,4425,4320,4089,3792,3487,3188,2943,2655,2450,0.9908886339915864,220.55798050499288,180.2961441114769,138.94981380837118,98.41685393745774,65.20422795627445,26.162447211046754,-1.627709222188173
B000004849,2159396648,강원,강원특별자치도교육청,당림초등학교,1935-04-01,강원특별자치도 춘천시 서면 당림리 414-1 번지,강원특별자치도 춘천시 서면 당숲안길 81,37.83784571,127.6081748,춘천시,24.0,19.0,18.0,17.0,16.0,18.0,17.0,13.0,9.0,12.0,13.0,13.0,12.0,11.0,8.0,18262,17364,16391,15453,14274,13761,13431,13141,13168,13407,13633,13454,13276,13220,12937,12275,11675,11214,10764,10194,9710,9298,0.8404158431560194,10.313941132247448,9.05215964579874,8.082690870377318,7.136354755540788,5.937662343414518,4.919825277679228,4.0534019903177825
B000024604,2207606136,강원,강원특별자치도교육청,학성초등학교,1944-05-20,강원특별자치도 원주시 태장동 152-1,강원특별자치도 원주시 치악로 2009-9,37.36064068,127.958829,원주시,998.0,980.0,953.0,898.0,863.0,846.0,771.0,719.0,685.0,654.0,602.0,610.0,592.0,553.0,540.0,21266,20620,19692,18727,17843,17562,17366,17226,17344,17569,17725,17153,16782,16521,16050,15398,14460,14060,13627,13057,12660,12303,0.8790057418498659,506.71906527847557,417.4141803753711,379.33107380688296,338.1061109464946,283.837684086399,246.04020081717465,212.05102820479908
B000004951,2331170141,강원,강원특별자치도교육청,묵호초등학교,1935-10-07,강원특별자치도 동해시 발한동 318,강원특별자치도 동해시 발한천길 30,37.552301,129.1013302,동해시,269.0,237.0,212.0,200.0,179.0,166.0,153.0,144.0,143.0,132.0,107.0,94.0,85.0,82.0,90.0,7945,7540,7176,6704,6185,5832,5516,5250,5017,4932,4831,4668,4582,4425,4320,4089,3792,3487,3188,2943,2655,2450,0.9821063745246527,77.57970014914531,63.360460034020775,48.75821008414542,34.44321751033317,22.713541321089025,8.925187270059183,-0.8894397454308205
B000005203,2343569993,강원,강원특별자치도교육청,용대초등학교,1937-03-31,강원특별자치도 인제군 북면 용대리 1025-1,강원특별자치도 인제군 북면 미시령로 1031,38.19559876,128.3293941,인제군,97.0,94.0,70.0,60.0,44.0,45.0,45.0,44.0,47.0,45.0,38.0,34.0,29.0,30.0,36.0,2767,2637,2529,2356,2224,2240,2270,2276,2294,2271,2262,2162,2112,2134,2083,2058,1946,1863,1763,1614,1490,1392,0.9762729414321146,24.048110438972287,12.173230678490171,3.3730965702757487,-7.229474644440444,-23.027305754367546,-36.174494060615615,-46.56501385103746
B000004988,2397735059,강원,강원특별자치도교육청,조산초등학교,1944-04-10,강원특별자치도 양양군 양양읍 조산리 450-5 번지,강원특별자치도 양양군 양양읍 동해대로 3020,38.11371111,128.6323998,양양군,101.0,85.0,77.0,73.0,65.0,57.0,55.0,54.0,42.0,39.0,40.0,41.0,42.0,39.0,35.0,1811,1716,1624,1492,1333,1281,1213,1170,1121,1102,1097,1033,993,948,899,808,770,741,702,652,603,587,0.9782327701933629,25.654969107655127,23.050072994347133,21.06212596050682,18.388679949480192,14.961185063548612,11.602240075335672,10.50544171183757
B000004920,2415572822,강원,강원특별자치도교육청,율곡초등학교,2000-03-01,강원특별자치도 강릉시 교동 1851 번지,강원특별자치도 강릉시 원대로 129,37.76623849,128.8816262,강릉시,1505.0,1489.0,1477.0,1384.0,1275.0,1212.0,1117.0,1095.0,1105.0,1112.0,1162.0,1004.0,964.0,935.0,923.0,15873,15217,14515,13637,12479,11873,11310,10841,10397,10272,10161,9702,9360,9108,8703,8116,7516,7020,6672,6162,5819,5561,0.9802437678142335,888.3096766004189,836.8551065030215,794.3193285558395,764.4756778993491,720.7392933165612,691.3244307442156,669.1989656023347
B000004842,2544205129,강원,강원특별자치도교육청,동부초등학교,1994-12-29,강원특별자치도 춘천시 후평동 894 번지,강원특별자치도 춘천시 서부대성로 339,37.87105987,127.754782,춘천시,968.0,885.0,821.0,724.0,633.0,579.0,537.0,521.0,488.0,483.0,491.0,446.0,405.0,383.0,370.0,18262,17364,16391,15453,14274,13761,13431,13141,13168,13407,13633,13454,13276,13220,12937,12275,11675,11214,10764,10194,9710,9298,0.9650179041480454,362.9622919372,299.38966422549834,250.54469526700768,202.86522448323126,142.47122815711487,91.18930846967555,47.53610410764031
